display pattern crop concurrency p50_ms p95_ms query_p95_ms loop_max_ms refusals
1280x720 ui small 1 20.31 21.52 21.55 17.02 0
1280x720 ui small 4 52.57 106.20 106.21 42.57 0
1280x720 ui full 1 26.56 34.70 34.79 23.82 0
1280x720 ui full 4 55.41 112.00 112.07 29.57 0
1280x720 noise small 1 23.17 26.96 27.11 24.41 0
1280x720 noise small 4 56.33 102.60 102.74 27.39 0
1280x720 noise full 1 139.47 384.60 386.68 227.28 0
1280x720 noise full 4 284.92 542.91 544.90 96.27 0
1920x1080 ui small 1 31.80 37.17 37.20 26.12 0
1920x1080 ui small 4 68.47 128.44 128.46 24.87 0
1920x1080 ui full 1 48.74 56.11 56.22 40.40 0
1920x1080 ui full 4 100.80 192.06 192.20 40.21 0
1920x1080 noise small 1 35.58 45.73 45.88 34.77 0
1920x1080 noise small 4 81.04 144.70 144.88 32.83 0
1920x1080 noise full 1 167.03 174.50 174.50 159.91 15
1920x1080 noise full 4 337.45 664.90 664.91 162.53 15
3840x2160 ui small 1 85.43 93.49 93.50 49.94 0
3840x2160 ui small 4 172.54 332.86 332.90 53.84 0
3840x2160 ui full 1 144.82 177.76 177.94 125.89 0
3840x2160 ui full 4 323.84 616.45 616.74 125.70 0
3840x2160 noise small 1 92.41 109.34 109.49 59.80 0
3840x2160 noise small 4 194.06 358.14 358.38 56.62 0
3840x2160 noise full 1 653.91 672.12 672.11 622.33 15
3840x2160 noise full 4 1333.36 2684.87 2684.89 632.29 15
PROOF: GREEN — 24 native workload cases, complete phase counters and expected size refusals; no performance threshold claimed
